event_id,subscription_id,failure_timestamp,day_of_month,days_to_nearest_payday_window,error_reason,amount,prior_if_failure_count,prior_if_self_resolved_rate,tenure_days,plan_tier,monthly_amount,primary_instrument,city_tier,signup_date,bank_network_conditions,issuing_bank_downtime_flag,network_latency_bucket,is_month_end_settlement_rush,app_version,device_build,ui_theme,recovered_within_14d,recovered_at,recovered_via,final_amount_recovered
evt_SYN000000,sub_SYN00000,2026-01-03 19:54:00,3,0,insufficient_fund,754.0,0,,369,premium,754,debit_card,tier_1,2024-12-30,good,False,medium,False,5.1.2,build_A1,dark,True,2026-01-17 19:54:00,auto_retry,754.0
evt_SYN000001,sub_SYN00000,2026-02-01 06:04:00,1,0,insufficient_fund,754.0,1,0.0,398,premium,754,debit_card,tier_1,2024-12-30,good,True,low,False,4.2.0,build_A1,dark,True,2026-02-03 07:12:00,customer_self_serve,754.0
evt_SYN000002,sub_SYN00000,2026-03-02 15:27:00,2,0,insufficient_fund,754.0,2,0.5,427,premium,754,debit_card,tier_1,2024-12-30,good,False,medium,True,5.1.2,build_B7,system,False,,none,0.0
evt_SYN000003,sub_SYN00000,2026-03-28 07:22:00,28,1,insufficient_fund,754.0,3,0.3333333333333333,453,premium,754,debit_card,tier_1,2024-12-30,good,False,medium,False,5.0.0,build_A1,dark,False,,none,0.0
evt_SYN000004,sub_SYN00001,2025-12-11 16:59:00,11,8,insufficient_fund,4304.0,0,,51,saas,4304,upi_autopay,tier_3,2025-10-21,good,False,low,False,4.2.0,build_E2,system,True,2025-12-11 23:09:00,auto_retry,4304.0
evt_SYN000005,sub_SYN00002,2026-06-05 00:33:00,5,2,insufficient_fund,323.0,0,,628,mid,323,netbanking,tier_2,2024-09-15,good,False,medium,True,4.4.0,build_A1,system,False,,none,0.0
evt_SYN000006,sub_SYN00002,2026-06-29 14:15:00,29,0,insufficient_fund,323.0,1,0.0,652,mid,323,netbanking,tier_2,2024-09-15,degraded,False,low,True,5.0.0,build_A1,dark,False,,none,0.0
evt_SYN000007,sub_SYN00002,2026-08-02 20:03:00,2,0,insufficient_fund,323.0,2,0.0,686,mid,323,netbanking,tier_2,2024-09-15,good,False,medium,False,5.0.0,build_A1,system,True,2026-08-16 20:03:00,auto_retry,323.0
evt_SYN000010,sub_SYN00004,2026-03-28 23:26:00,28,1,insufficient_fund,107.0,0,,24,mobile,107,netbanking,tier_3,2026-03-04,good,False,high,False,4.2.0,build_E2,system,False,,none,0.0
evt_SYN000011,sub_SYN00005,2026-04-07 11:31:00,7,4,insufficient_fund,172.0,0,,46,mobile,172,upi_autopay,tier_3,2026-02-20,poor,False,low,False,4.4.0,build_C3,light,False,,none,0.0
evt_SYN000012,sub_SYN00006,2026-03-13 20:01:00,13,10,insufficient_fund,160.0,0,,406,mobile,160,upi_autopay,tier_1,2025-01-31,good,False,low,False,4.4.0,build_B7,system,False,,none,0.0
evt_SYN000013,sub_SYN00006,2026-04-04 06:27:00,4,1,insufficient_fund,160.0,1,0.0,428,mobile,160,upi_autopay,tier_1,2025-01-31,good,False,medium,False,4.3.1,build_B7,system,True,2026-04-06 14:25:00,customer_self_serve,160.0
evt_SYN000018,sub_SYN00010,2026-06-11 13:38:00,11,8,insufficient_fund,352.0,0,,13,mid,352,debit_card,tier_2,2026-05-29,good,False,low,False,5.1.2,build_A1,light,True,2026-06-12 00:53:00,auto_retry,352.0
evt_SYN000022,sub_SYN00013,2026-06-03 18:50:00,3,0,insufficient_fund,851.0,0,,412,premium,851,netbanking,tier_3,2025-04-17,good,False,medium,False,5.0.0,build_C3,light,True,2026-06-13 15:22:00,auto_retry,760.36
evt_SYN000023,sub_SYN00013,2026-06-20 21:30:00,20,8,insufficient_fund,851.0,1,0.0,429,premium,851,netbanking,tier_3,2025-04-17,poor,False,medium,False,4.3.1,build_C3,system,False,,none,0.0
evt_SYN000024,sub_SYN00013,2026-08-02 15:07:00,2,0,insufficient_fund,851.0,2,0.0,472,premium,851,netbanking,tier_3,2025-04-17,degraded,False,low,False,4.3.1,build_E2,dark,False,,none,0.0
evt_SYN000025,sub_SYN00013,2026-08-26 16:16:00,26,3,insufficient_fund,851.0,3,0.0,496,premium,851,netbanking,tier_3,2025-04-17,good,False,low,False,4.3.1,build_D9,dark,False,,none,0.0
evt_SYN000027,sub_SYN00015,2025-05-10 21:15:00,10,7,insufficient_fund,850.0,0,,242,premium,850,upi_autopay,tier_1,2024-09-10,good,False,medium,False,4.4.0,build_D9,system,True,2025-05-11 10:23:00,auto_retry,850.0
evt_SYN000035,sub_SYN00019,2026-04-25 05:54:00,25,3,insufficient_fund,335.0,0,,155,mid,335,credit_card,tier_3,2025-11-21,good,False,low,False,5.0.0,build_D9,light,True,2026-05-01 06:48:00,customer_self_serve,335.0
evt_SYN000036,sub_SYN00019,2026-05-23 00:52:00,23,6,insufficient_fund,335.0,1,1.0,183,mid,335,credit_card,tier_3,2025-11-21,poor,False,medium,False,4.4.0,build_D9,dark,True,2026-06-04 09:38:00,auto_retry,335.0
