counterfactual_id,event_id,subscription_id,candidate_type,candidate_datetime,recovery_probability_latent,recovered_within_14d,recovered_at,recovered_via,amount_recovered
cfo_SYN000000,evt_SYN000000,sub_SYN00000,immediate,2026-04-03 14:48:00,0.446199,False,,none,0.0
cfo_SYN000001,evt_SYN000000,sub_SYN00000,plus_1_day_morning,2026-04-04 11:24:00,0.393632,True,2026-04-05 01:13:00,auto_retry,401.0
cfo_SYN000002,evt_SYN000000,sub_SYN00000,payday_window,2026-04-28 10:00:00,0.757787,False,,none,0.0
cfo_SYN000003,evt_SYN000000,sub_SYN00000,plus_3_days,2026-04-06 18:28:00,0.427387,False,,none,0.0
cfo_SYN000004,evt_SYN000000,sub_SYN00000,month_end_window,2026-04-30 14:00:00,0.474917,False,,none,0.0
cfo_SYN000005,evt_SYN000001,sub_SYN00000,immediate,2026-05-13 06:30:00,0.875741,False,,none,0.0
cfo_SYN000006,evt_SYN000001,sub_SYN00000,plus_1_day_morning,2026-05-14 08:31:00,0.312251,False,,none,0.0
cfo_SYN000007,evt_SYN000001,sub_SYN00000,payday_window,2026-05-29 10:00:00,0.498198,False,,none,0.0
cfo_SYN000008,evt_SYN000001,sub_SYN00000,plus_3_days,2026-05-16 15:29:00,0.181403,False,,none,0.0
cfo_SYN000009,evt_SYN000001,sub_SYN00000,month_end_window,2026-05-31 14:00:00,0.36029,False,,none,0.0
cfo_SYN000010,evt_SYN000002,sub_SYN00000,immediate,2026-05-23 07:13:00,0.288309,False,,none,0.0
cfo_SYN000011,evt_SYN000002,sub_SYN00000,plus_1_day_morning,2026-05-24 10:41:00,0.261222,False,,none,0.0
cfo_SYN000012,evt_SYN000002,sub_SYN00000,payday_window,2026-05-29 10:00:00,0.288605,False,,none,0.0
cfo_SYN000013,evt_SYN000002,sub_SYN00000,plus_3_days,2026-05-26 10:31:00,0.183029,False,,none,0.0
cfo_SYN000014,evt_SYN000002,sub_SYN00000,month_end_window,2026-05-31 14:00:00,0.356528,False,,none,0.0
cfo_SYN000015,evt_SYN000003,sub_SYN00001,immediate,2026-03-20 16:12:00,0.940124,True,2026-03-21 18:29:00,customer_self_serve,1274.5
cfo_SYN000016,evt_SYN000003,sub_SYN00001,plus_1_day_morning,2026-03-21 09:26:00,0.90208,True,2026-03-21 19:37:00,auto_retry,1289.0
cfo_SYN000017,evt_SYN000003,sub_SYN00001,payday_window,2026-03-29 10:00:00,0.587469,False,,none,0.0
cfo_SYN000018,evt_SYN000003,sub_SYN00001,plus_3_days,2026-03-23 16:59:00,0.876526,True,2026-03-30 09:01:00,auto_retry,1289.0
cfo_SYN000019,evt_SYN000003,sub_SYN00001,month_end_window,2026-03-31 14:00:00,0.975237,True,2026-04-01 20:03:00,auto_retry,1198.13
cfo_SYN000020,evt_SYN000004,sub_SYN00002,immediate,2026-05-21 23:50:00,0.493142,True,2026-05-31 08:09:00,auto_retry,418.0
cfo_SYN000021,evt_SYN000004,sub_SYN00002,plus_1_day_morning,2026-05-22 08:20:00,0.391922,False,,none,0.0
cfo_SYN000022,evt_SYN000004,sub_SYN00002,payday_window,2026-05-29 10:00:00,0.663471,True,2026-06-03 19:18:00,customer_self_serve,397.08
cfo_SYN000023,evt_SYN000004,sub_SYN00002,plus_3_days,2026-05-24 12:04:00,0.767637,True,2026-05-27 18:56:00,customer_self_serve,418.0
cfo_SYN000024,evt_SYN000004,sub_SYN00002,month_end_window,2026-05-31 14:00:00,0.417914,False,,none,0.0
