event_id,subscription_id,failure_timestamp,day_of_month,days_to_nearest_payday_window,error_reason,amount,prior_if_failure_count,prior_if_self_resolved_rate,tenure_days,bank_network_conditions,issuing_bank_downtime_flag,network_latency_bucket,is_month_end_settlement_rush,app_version,device_build,ui_theme
evt_SYN000000,sub_SYN00000,2026-04-03 13:23:00,3,0,insufficient_fund,401.0,0,,260,good,False,high,False,5.0.0,build_A1,light
evt_SYN000001,sub_SYN00000,2026-05-13 05:30:00,13,10,insufficient_fund,401.0,1,0.0,300,good,True,medium,False,4.2.0,build_C3,dark
evt_SYN000002,sub_SYN00000,2026-05-23 06:07:00,23,6,insufficient_fund,401.0,2,0.0,310,poor,False,low,False,4.3.1,build_E2,dark
evt_SYN000003,sub_SYN00001,2026-03-20 15:18:00,20,9,insufficient_fund,1289.0,0,,11,poor,False,low,False,4.3.1,build_B7,light
evt_SYN000004,sub_SYN00002,2026-05-21 23:20:00,21,8,insufficient_fund,418.0,0,,388,good,False,low,False,5.1.2,build_B7,dark
evt_SYN000005,sub_SYN00002,2026-06-05 11:43:00,5,2,insufficient_fund,418.0,1,1.0,403,degraded,False,medium,False,4.2.0,build_A1,dark
evt_SYN000006,sub_SYN00003,2026-05-04 17:07:00,4,1,insufficient_fund,410.0,0,,82,degraded,False,low,False,5.0.0,build_C3,dark
evt_SYN000007,sub_SYN00004,2026-05-16 12:09:00,16,13,insufficient_fund,827.0,0,,27,good,False,low,False,5.0.0,build_B7,dark
evt_SYN000008,sub_SYN00005,2025-12-15 14:43:00,15,12,insufficient_fund,327.0,0,,182,good,False,medium,True,5.0.0,build_A1,dark
evt_SYN000009,sub_SYN00006,2025-06-08 11:48:00,8,5,insufficient_fund,865.0,0,,101,good,False,medium,False,4.4.0,build_E2,system
evt_SYN000010,sub_SYN00006,2025-07-01 23:44:00,1,0,insufficient_fund,865.0,1,0.0,124,degraded,False,low,True,4.4.0,build_A1,system
evt_SYN000011,sub_SYN00007,2026-01-08 09:41:00,8,5,insufficient_fund,496.0,0,,454,degraded,False,low,False,5.0.0,build_C3,dark
evt_SYN000012,sub_SYN00007,2026-01-23 21:14:00,23,6,insufficient_fund,496.0,1,0.0,469,good,False,low,False,5.1.2,build_C3,light
evt_SYN000013,sub_SYN00007,2026-02-16 02:44:00,16,10,insufficient_fund,496.0,2,0.0,493,degraded,False,low,False,4.4.0,build_E2,light
evt_SYN000014,sub_SYN00008,2025-01-24 16:03:00,24,5,insufficient_fund,124.0,0,,55,good,False,medium,False,4.2.0,build_B7,dark
evt_SYN000015,sub_SYN00009,2025-08-06 17:08:00,6,3,insufficient_fund,682.0,0,,302,good,False,low,False,4.3.1,build_E2,system
evt_SYN000016,sub_SYN00010,2025-11-08 14:19:00,8,5,insufficient_fund,125.0,0,,328,good,False,low,False,4.2.0,build_E2,light
evt_SYN000017,sub_SYN00011,2026-06-19 19:23:00,19,9,insufficient_fund,196.0,0,,511,good,False,high,False,5.1.2,build_C3,system
evt_SYN000018,sub_SYN00012,2026-06-04 09:05:00,4,1,insufficient_fund,483.0,0,,11,good,False,medium,False,4.4.0,build_A1,system
evt_SYN000019,sub_SYN00012,2026-07-01 13:34:00,1,0,insufficient_fund,483.0,1,0.0,38,good,False,medium,False,5.1.2,build_A1,dark
evt_SYN000020,sub_SYN00012,2026-07-27 16:41:00,27,2,insufficient_fund,483.0,2,0.0,64,good,False,high,False,5.1.2,build_A1,light
evt_SYN000021,sub_SYN00013,2026-06-04 06:19:00,4,1,insufficient_fund,708.0,0,,442,good,False,medium,False,4.3.1,build_A1,light
evt_SYN000022,sub_SYN00013,2026-07-03 03:52:00,3,0,insufficient_fund,708.0,1,0.0,471,good,False,low,False,5.1.2,build_E2,light
evt_SYN000023,sub_SYN00013,2026-08-14 16:48:00,14,11,insufficient_fund,708.0,2,0.0,513,good,False,low,True,5.0.0,build_B7,dark
evt_SYN000024,sub_SYN00014,2026-05-10 05:33:00,10,7,insufficient_fund,838.0,0,,63,good,False,low,False,4.3.1,build_A1,system
evt_SYN000025,sub_SYN00015,2026-06-05 05:51:00,5,2,insufficient_fund,165.0,0,,46,good,False,low,False,4.3.1,build_E2,light
evt_SYN000026,sub_SYN00016,2026-03-26 00:04:00,26,3,insufficient_fund,198.0,0,,43,good,False,medium,False,4.3.1,build_E2,dark
evt_SYN000027,sub_SYN00016,2026-04-26 00:08:00,26,2,insufficient_fund,198.0,1,0.0,74,poor,False,high,False,5.1.2,build_A1,dark
evt_SYN000028,sub_SYN00017,2025-07-25 11:41:00,25,4,insufficient_fund,2782.0,0,,266,good,False,low,False,4.3.1,build_B7,light
evt_SYN000029,sub_SYN00018,2025-09-29 17:22:00,29,0,insufficient_fund,141.0,0,,276,good,False,low,False,4.4.0,build_B7,system
evt_SYN000030,sub_SYN00018,2025-10-20 09:43:00,20,9,insufficient_fund,141.0,1,0.0,297,good,False,low,False,5.1.2,build_E2,light
evt_SYN000031,sub_SYN00018,2025-11-21 18:31:00,21,7,insufficient_fund,141.0,2,0.5,329,good,False,medium,False,5.1.2,build_D9,dark
evt_SYN000032,sub_SYN00019,2025-02-20 18:21:00,20,6,insufficient_fund,164.0,0,,199,good,False,medium,False,4.2.0,build_E2,system
evt_SYN000033,sub_SYN00020,2025-10-15 19:07:00,15,12,insufficient_fund,135.0,0,,457,good,False,low,False,5.1.2,build_D9,light
evt_SYN000034,sub_SYN00020,2025-11-24 21:13:00,24,4,insufficient_fund,135.0,1,0.0,497,good,False,medium,False,5.0.0,build_B7,system
evt_SYN000035,sub_SYN00020,2026-01-02 22:01:00,2,0,insufficient_fund,135.0,2,0.5,536,good,False,high,False,4.2.0,build_E2,light
evt_SYN000036,sub_SYN00020,2026-02-01 11:52:00,1,0,insufficient_fund,135.0,3,0.3333333333333333,566,good,False,low,False,4.3.1,build_D9,dark
evt_SYN000037,sub_SYN00021,2025-05-26 13:01:00,26,3,insufficient_fund,402.0,0,,255,degraded,False,high,False,5.1.2,build_B7,system
evt_SYN000038,sub_SYN00022,2026-03-27 18:18:00,27,2,insufficient_fund,906.0,0,,28,good,False,low,False,4.2.0,build_A1,dark
evt_SYN000039,sub_SYN00023,2025-05-10 19:25:00,10,7,insufficient_fund,874.0,0,,228,good,False,low,False,5.0.0,build_E2,light
evt_SYN000040,sub_SYN00023,2025-06-08 17:25:00,8,5,insufficient_fund,874.0,1,0.0,257,good,False,low,False,4.2.0,build_B7,system
evt_SYN000041,sub_SYN00024,2025-10-24 04:28:00,24,5,insufficient_fund,694.0,0,,368,degraded,False,medium,False,4.4.0,build_C3,light
evt_SYN000042,sub_SYN00024,2025-11-15 19:44:00,15,12,insufficient_fund,694.0,1,0.0,390,good,False,medium,False,4.4.0,build_A1,dark
evt_SYN000043,sub_SYN00024,2025-12-17 05:57:00,17,12,insufficient_fund,694.0,2,0.0,422,degraded,False,medium,False,5.0.0,build_B7,dark
evt_SYN000044,sub_SYN00025,2025-10-22 01:44:00,22,7,insufficient_fund,91.0,0,,388,good,False,low,False,4.2.0,build_C3,system
