event_id,subscription_id,recovered_within_14d,recovered_at,recovered_via,final_amount_recovered
evt_SYN000000,sub_SYN00000,True,2026-01-17 19:54:00,auto_retry,754.0
evt_SYN000001,sub_SYN00000,True,2026-02-03 07:12:00,customer_self_serve,754.0
evt_SYN000002,sub_SYN00000,False,,none,0.0
evt_SYN000003,sub_SYN00000,False,,none,0.0
evt_SYN000004,sub_SYN00001,True,2025-12-11 23:09:00,auto_retry,4304.0
evt_SYN000005,sub_SYN00002,False,,none,0.0
evt_SYN000006,sub_SYN00002,False,,none,0.0
evt_SYN000007,sub_SYN00002,True,2026-08-16 20:03:00,auto_retry,323.0
evt_SYN000008,sub_SYN00003,True,2025-07-13 04:43:00,auto_retry,96.0
evt_SYN000009,sub_SYN00003,True,2025-08-23 07:21:00,auto_retry,96.0
evt_SYN000010,sub_SYN00004,False,,none,0.0
evt_SYN000011,sub_SYN00005,False,,none,0.0
evt_SYN000012,sub_SYN00006,False,,none,0.0
evt_SYN000013,sub_SYN00006,True,2026-04-06 14:25:00,customer_self_serve,160.0
evt_SYN000014,sub_SYN00007,False,,none,0.0
evt_SYN000015,sub_SYN00007,False,,none,0.0
evt_SYN000016,sub_SYN00008,True,2025-09-16 13:06:00,customer_self_serve,175.0
evt_SYN000017,sub_SYN00009,False,,none,0.0
evt_SYN000018,sub_SYN00010,True,2026-06-12 00:53:00,auto_retry,352.0
evt_SYN000019,sub_SYN00011,False,,none,0.0
evt_SYN000020,sub_SYN00012,True,2026-06-01 11:24:00,auto_retry,145.0
evt_SYN000021,sub_SYN00012,True,2026-07-09 09:15:00,customer_self_serve,145.0
evt_SYN000022,sub_SYN00013,True,2026-06-13 15:22:00,auto_retry,760.36
evt_SYN000023,sub_SYN00013,False,,none,0.0
evt_SYN000024,sub_SYN00013,False,,none,0.0
evt_SYN000025,sub_SYN00013,False,,none,0.0
evt_SYN000026,sub_SYN00014,True,2026-04-14 07:24:00,auto_retry,785.0
evt_SYN000027,sub_SYN00015,True,2025-05-11 10:23:00,auto_retry,850.0
evt_SYN000028,sub_SYN00016,True,2026-03-21 06:06:00,auto_retry,78.87
evt_SYN000029,sub_SYN00016,True,2026-04-25 07:37:00,auto_retry,90.0
evt_SYN000030,sub_SYN00016,False,,none,0.0
