retry_candidate_id,event_id,subscription_id,candidate_type,candidate_datetime,offset_hours_from_failure,day_of_week,is_payday_aligned,is_month_end_aligned
rtc_SYN000000,evt_SYN000000,sub_SYN00000,immediate,2026-01-03 21:17:00,1.38,Saturday,True,False
rtc_SYN000001,evt_SYN000000,sub_SYN00000,plus_1_day_morning,2026-01-04 09:20:00,13.43,Sunday,True,False
rtc_SYN000002,evt_SYN000000,sub_SYN00000,payday_window,2026-01-29 10:00:00,614.1,Thursday,True,False
rtc_SYN000003,evt_SYN000000,sub_SYN00000,plus_3_days,2026-01-06 16:51:00,68.95,Tuesday,False,False
rtc_SYN000004,evt_SYN000000,sub_SYN00000,month_end_window,2026-01-31 18:00:00,670.1,Saturday,True,True
rtc_SYN000005,evt_SYN000001,sub_SYN00000,immediate,2026-02-01 06:23:00,0.32,Sunday,True,False
rtc_SYN000006,evt_SYN000001,sub_SYN00000,plus_1_day_morning,2026-02-02 11:49:00,29.75,Monday,True,False
rtc_SYN000007,evt_SYN000001,sub_SYN00000,payday_window,2026-02-02 10:00:00,27.93,Monday,True,False
rtc_SYN000008,evt_SYN000001,sub_SYN00000,plus_3_days,2026-02-04 10:06:00,76.03,Wednesday,True,False
rtc_SYN000009,evt_SYN000001,sub_SYN00000,month_end_window,2026-02-28 18:00:00,659.93,Saturday,True,True
rtc_SYN000010,evt_SYN000002,sub_SYN00000,immediate,2026-03-02 16:51:00,1.4,Monday,True,False
rtc_SYN000011,evt_SYN000002,sub_SYN00000,plus_1_day_morning,2026-03-03 11:23:00,19.93,Tuesday,True,False
rtc_SYN000012,evt_SYN000002,sub_SYN00000,payday_window,2026-03-03 10:00:00,18.55,Tuesday,True,False
rtc_SYN000013,evt_SYN000002,sub_SYN00000,plus_3_days,2026-03-05 16:59:00,73.53,Thursday,False,False
rtc_SYN000014,evt_SYN000002,sub_SYN00000,month_end_window,2026-03-31 18:00:00,698.55,Tuesday,True,True
rtc_SYN000015,evt_SYN000003,sub_SYN00000,immediate,2026-03-28 08:04:00,0.7,Saturday,True,False
rtc_SYN000016,evt_SYN000003,sub_SYN00000,plus_1_day_morning,2026-03-29 08:59:00,25.62,Sunday,True,False
rtc_SYN000017,evt_SYN000003,sub_SYN00000,payday_window,2026-03-29 10:00:00,26.63,Sunday,True,False
rtc_SYN000018,evt_SYN000003,sub_SYN00000,plus_3_days,2026-03-31 12:28:00,77.1,Tuesday,True,True
rtc_SYN000019,evt_SYN000003,sub_SYN00000,month_end_window,2026-03-31 18:00:00,82.63,Tuesday,True,True
rtc_SYN000020,evt_SYN000004,sub_SYN00001,immediate,2025-12-11 17:54:00,0.92,Thursday,False,False
rtc_SYN000021,evt_SYN000004,sub_SYN00001,plus_1_day_morning,2025-12-12 10:16:00,17.28,Friday,False,False
rtc_SYN000022,evt_SYN000004,sub_SYN00001,payday_window,2025-12-29 10:00:00,425.02,Monday,True,False
rtc_SYN000023,evt_SYN000004,sub_SYN00001,plus_3_days,2025-12-14 16:41:00,71.7,Sunday,False,False
rtc_SYN000024,evt_SYN000004,sub_SYN00001,month_end_window,2025-12-31 18:00:00,481.02,Wednesday,True,True
rtc_SYN000025,evt_SYN000005,sub_SYN00002,immediate,2026-06-05 01:01:00,0.47,Friday,False,False
rtc_SYN000026,evt_SYN000005,sub_SYN00002,plus_1_day_morning,2026-06-06 09:03:00,32.5,Saturday,False,False
rtc_SYN000027,evt_SYN000005,sub_SYN00002,payday_window,2026-06-28 10:00:00,561.45,Sunday,True,False
rtc_SYN000028,evt_SYN000005,sub_SYN00002,plus_3_days,2026-06-08 11:59:00,83.43,Monday,False,False
rtc_SYN000029,evt_SYN000005,sub_SYN00002,month_end_window,2026-06-30 18:00:00,617.45,Tuesday,True,True
rtc_SYN000030,evt_SYN000006,sub_SYN00002,immediate,2026-06-29 15:18:00,1.05,Monday,True,True
rtc_SYN000031,evt_SYN000006,sub_SYN00002,plus_1_day_morning,2026-06-30 10:53:00,20.63,Tuesday,True,True
rtc_SYN000032,evt_SYN000006,sub_SYN00002,payday_window,2026-06-30 10:00:00,19.75,Tuesday,True,True
rtc_SYN000033,evt_SYN000006,sub_SYN00002,plus_3_days,2026-07-02 16:47:00,74.53,Thursday,True,False
rtc_SYN000034,evt_SYN000006,sub_SYN00002,month_end_window,2026-06-30 18:00:00,27.75,Tuesday,True,True
rtc_SYN000035,evt_SYN000007,sub_SYN00002,immediate,2026-08-02 21:29:00,1.43,Sunday,True,False
rtc_SYN000036,evt_SYN000007,sub_SYN00002,plus_1_day_morning,2026-08-03 09:37:00,13.57,Monday,True,False
rtc_SYN000037,evt_SYN000007,sub_SYN00002,payday_window,2026-08-03 10:00:00,13.95,Monday,True,False
rtc_SYN000038,evt_SYN000007,sub_SYN00002,plus_3_days,2026-08-05 12:53:00,64.83,Wednesday,False,False
rtc_SYN000039,evt_SYN000007,sub_SYN00002,month_end_window,2026-08-31 18:00:00,693.95,Monday,True,True
rtc_SYN000040,evt_SYN000008,sub_SYN00003,immediate,2025-07-13 00:37:00,0.42,Sunday,False,False
rtc_SYN000041,evt_SYN000008,sub_SYN00003,plus_1_day_morning,2025-07-14 11:52:00,35.67,Monday,False,False
rtc_SYN000042,evt_SYN000008,sub_SYN00003,payday_window,2025-07-29 10:00:00,393.8,Tuesday,True,False
rtc_SYN000043,evt_SYN000008,sub_SYN00003,plus_3_days,2025-07-16 10:42:00,82.5,Wednesday,False,False
rtc_SYN000044,evt_SYN000008,sub_SYN00003,month_end_window,2025-07-31 18:00:00,449.8,Thursday,True,True
rtc_SYN000045,evt_SYN000009,sub_SYN00003,immediate,2025-08-16 22:23:00,1.97,Saturday,False,False
rtc_SYN000046,evt_SYN000009,sub_SYN00003,plus_1_day_morning,2025-08-17 10:20:00,13.92,Sunday,False,False
rtc_SYN000047,evt_SYN000009,sub_SYN00003,payday_window,2025-08-29 10:00:00,301.58,Friday,True,False
rtc_SYN000048,evt_SYN000009,sub_SYN00003,plus_3_days,2025-08-19 18:30:00,70.08,Tuesday,False,False
rtc_SYN000049,evt_SYN000009,sub_SYN00003,month_end_window,2025-08-31 18:00:00,357.58,Sunday,True,True
rtc_SYN000050,evt_SYN000010,sub_SYN00004,immediate,2026-03-28 23:44:00,0.3,Saturday,True,False
