subscription_id,plan_tier,monthly_amount,signup_date,primary_instrument,city_tier,tenure_days,archetype,split
sub_SYN00000,premium,754,2024-12-30,debit_card,tier_1,547,chronic_struggler,train
sub_SYN00001,saas,4304,2025-10-21,upi_autopay,tier_3,252,reliable,train
sub_SYN00002,mid,323,2024-09-15,netbanking,tier_2,653,chronic_struggler,train
sub_SYN00003,mobile,96,2025-04-11,upi_autopay,tier_1,445,cash_strapped_cyclical,test
sub_SYN00004,mobile,107,2026-03-04,netbanking,tier_3,118,reliable,train
sub_SYN00005,mobile,172,2026-02-20,upi_autopay,tier_3,130,quiet_canceller,train
sub_SYN00006,mobile,160,2025-01-31,upi_autopay,tier_1,515,chronic_struggler,train
sub_SYN00007,mid,311,2026-01-30,credit_card,tier_3,151,chronic_struggler,validation
sub_SYN00008,mobile,175,2025-06-10,upi_autopay,tier_1,385,reliable,test
sub_SYN00009,mid,323,2024-07-06,debit_card,tier_3,724,reliable,validation
sub_SYN00010,mid,352,2026-05-29,debit_card,tier_2,32,reliable,train
sub_SYN00011,mid,484,2026-05-20,upi_autopay,tier_2,41,quiet_canceller,test
sub_SYN00012,mobile,145,2024-07-05,netbanking,tier_1,725,cash_strapped_cyclical,test
sub_SYN00013,premium,851,2025-04-17,netbanking,tier_3,439,chronic_struggler,train
sub_SYN00014,premium,785,2026-03-04,credit_card,tier_1,118,reliable,validation
sub_SYN00015,premium,850,2024-09-10,upi_autopay,tier_1,658,reliable,train
sub_SYN00016,mobile,90,2024-09-22,upi_autopay,tier_1,646,cash_strapped_cyclical,validation
sub_SYN00017,mobile,129,2025-05-21,credit_card,tier_2,405,reliable,test
sub_SYN00018,saas,1661,2025-03-22,credit_card,tier_1,465,chronic_struggler,validation
sub_SYN00019,mid,335,2025-11-21,credit_card,tier_3,221,cash_strapped_cyclical,train
sub_SYN00020,mobile,166,2026-04-26,upi_autopay,tier_2,65,chronic_struggler,train
sub_SYN00021,mid,388,2025-04-10,debit_card,tier_1,446,reliable,train
sub_SYN00022,mid,325,2025-11-06,netbanking,tier_1,236,quiet_canceller,validation
sub_SYN00023,saas,2374,2025-02-21,debit_card,tier_1,494,chronic_struggler,train
sub_SYN00024,mobile,197,2024-10-23,netbanking,tier_2,615,chronic_struggler,train
sub_SYN00025,saas,1759,2026-05-19,debit_card,tier_3,42,reliable,train
sub_SYN00026,mobile,85,2025-04-10,upi_autopay,tier_1,446,reliable,train
sub_SYN00027,mid,330,2025-12-21,credit_card,tier_3,191,reliable,test
sub_SYN00028,mid,469,2024-09-27,debit_card,tier_1,641,reliable,train
sub_SYN00029,mobile,180,2025-12-05,upi_autopay,tier_3,207,cash_strapped_cyclical,train
sub_SYN00030,mobile,153,2025-03-30,netbanking,tier_3,457,cash_strapped_cyclical,test
sub_SYN00031,mid,336,2025-05-09,upi_autopay,tier_2,417,quiet_canceller,train
sub_SYN00032,saas,3101,2025-08-27,credit_card,tier_2,307,reliable,train
sub_SYN00033,mid,450,2025-02-11,debit_card,tier_3,504,reliable,train
sub_SYN00034,saas,3131,2025-01-08,credit_card,tier_1,538,reliable,train
sub_SYN00035,premium,916,2025-04-30,credit_card,tier_1,426,reliable,test
sub_SYN00036,mid,352,2024-12-17,upi_autopay,tier_1,560,reliable,test
sub_SYN00037,premium,900,2024-07-12,upi_autopay,tier_2,718,reliable,train
sub_SYN00038,mobile,97,2025-08-11,upi_autopay,tier_2,323,reliable,train
sub_SYN00039,mobile,190,2025-06-05,upi_autopay,tier_2,390,cash_strapped_cyclical,train
sub_SYN00040,premium,979,2026-05-23,upi_autopay,tier_3,38,reliable,train
sub_SYN00041,premium,661,2024-11-20,upi_autopay,tier_1,587,chronic_struggler,validation
sub_SYN00042,mobile,122,2025-06-01,credit_card,tier_2,394,cash_strapped_cyclical,train
sub_SYN00043,mid,385,2025-08-19,credit_card,tier_1,315,reliable,train
sub_SYN00044,mid,487,2026-03-27,debit_card,tier_1,95,chronic_struggler,train
sub_SYN00045,premium,920,2024-09-16,upi_autopay,tier_2,652,chronic_struggler,train
sub_SYN00046,mid,431,2025-08-28,credit_card,tier_3,306,reliable,validation
sub_SYN00047,mid,331,2025-02-08,debit_card,tier_2,507,reliable,train
sub_SYN00048,mid,393,2026-02-16,upi_autopay,tier_1,134,cash_strapped_cyclical,train
sub_SYN00049,mid,371,2024-07-27,credit_card,tier_2,703,reliable,validation
sub_SYN00050,mid,352,2026-01-27,debit_card,tier_1,154,reliable,test
sub_SYN00051,premium,888,2026-01-12,upi_autopay,tier_3,169,reliable,validation
sub_SYN00052,mid,483,2024-10-07,upi_autopay,tier_2,631,chronic_struggler,train
sub_SYN00053,mobile,198,2024-08-31,credit_card,tier_1,668,cash_strapped_cyclical,validation
sub_SYN00054,mobile,108,2026-01-03,upi_autopay,tier_1,178,cash_strapped_cyclical,train
sub_SYN00055,premium,769,2025-07-07,credit_card,tier_1,358,chronic_struggler,train
sub_SYN00056,premium,957,2025-01-03,upi_autopay,tier_3,543,reliable,train
sub_SYN00057,mobile,156,2024-09-24,credit_card,tier_2,644,cash_strapped_cyclical,train
sub_SYN00058,mobile,157,2025-09-08,debit_card,tier_2,295,reliable,train
sub_SYN00059,mid,382,2025-06-04,debit_card,tier_2,391,reliable,train
sub_SYN00060,mobile,89,2024-12-28,credit_card,tier_2,549,cash_strapped_cyclical,validation
sub_SYN00061,premium,878,2025-01-05,upi_autopay,tier_1,541,reliable,test
sub_SYN00062,mobile,143,2024-11-29,credit_card,tier_3,578,cash_strapped_cyclical,validation
sub_SYN00063,mobile,193,2025-04-28,credit_card,tier_1,428,chronic_struggler,train
sub_SYN00064,saas,2777,2026-03-19,credit_card,tier_2,103,cash_strapped_cyclical,train
sub_SYN00065,mobile,173,2024-09-06,upi_autopay,tier_2,662,cash_strapped_cyclical,test
sub_SYN00066,mobile,163,2024-10-03,upi_autopay,tier_2,635,cash_strapped_cyclical,train
sub_SYN00067,mobile,183,2024-11-19,netbanking,tier_3,588,reliable,validation
sub_SYN00068,mobile,139,2026-03-23,credit_card,tier_1,99,reliable,train
sub_SYN00069,mobile,79,2026-01-08,debit_card,tier_2,173,reliable,train
sub_SYN00070,mobile,131,2024-12-27,credit_card,tier_1,550,reliable,train
sub_SYN00071,mobile,134,2026-05-15,debit_card,tier_2,46,reliable,train
sub_SYN00072,mobile,104,2024-07-15,netbanking,tier_1,715,chronic_struggler,validation
sub_SYN00073,mid,497,2025-09-09,upi_autopay,tier_1,294,reliable,test
sub_SYN00074,mid,460,2025-01-13,debit_card,tier_1,533,reliable,test
sub_SYN00075,mid,486,2024-09-17,debit_card,tier_1,651,reliable,train
sub_SYN00076,mobile,155,2025-08-28,netbanking,tier_1,306,reliable,validation
sub_SYN00077,mid,424,2025-10-20,debit_card,tier_2,253,cash_strapped_cyclical,test
sub_SYN00078,premium,771,2025-03-31,credit_card,tier_2,456,cash_strapped_cyclical,train
sub_SYN00079,premium,849,2025-04-20,debit_card,tier_1,436,chronic_struggler,test
sub_SYN00080,mobile,125,2025-08-18,credit_card,tier_1,316,cash_strapped_cyclical,train
sub_SYN00081,mobile,80,2025-04-05,credit_card,tier_1,451,reliable,validation
sub_SYN00082,mobile,148,2024-08-15,credit_card,tier_2,684,chronic_struggler,train
sub_SYN00083,mobile,140,2025-07-08,debit_card,tier_1,357,reliable,test
sub_SYN00084,mid,312,2026-01-14,debit_card,tier_1,167,reliable,train
sub_SYN00085,mid,366,2025-09-09,credit_card,tier_1,294,reliable,train
sub_SYN00086,mobile,122,2025-08-29,debit_card,tier_2,305,cash_strapped_cyclical,train
sub_SYN00087,mid,453,2026-03-01,netbanking,tier_1,121,reliable,train
sub_SYN00088,mid,365,2026-02-06,upi_autopay,tier_2,144,reliable,train
sub_SYN00089,mobile,116,2025-02-06,debit_card,tier_2,509,cash_strapped_cyclical,train
sub_SYN00090,premium,665,2025-10-06,credit_card,tier_2,267,reliable,validation
sub_SYN00091,mobile,81,2024-08-01,upi_autopay,tier_2,698,cash_strapped_cyclical,test
sub_SYN00092,saas,3909,2025-12-12,credit_card,tier_2,200,reliable,test
sub_SYN00093,mobile,102,2026-03-23,credit_card,tier_1,99,reliable,train
sub_SYN00094,premium,814,2024-12-20,netbanking,tier_2,557,reliable,train
sub_SYN00095,saas,3337,2024-09-22,debit_card,tier_2,646,cash_strapped_cyclical,train
sub_SYN00096,saas,2375,2025-11-18,upi_autopay,tier_1,224,reliable,train
sub_SYN00097,premium,816,2026-01-10,debit_card,tier_2,171,reliable,train
sub_SYN00098,premium,991,2026-01-21,upi_autopay,tier_1,160,reliable,train
sub_SYN00099,mid,395,2025-05-31,credit_card,tier_2,395,quiet_canceller,train
sub_SYN00100,premium,669,2025-07-08,credit_card,tier_2,357,quiet_canceller,train
sub_SYN00101,mobile,134,2025-12-01,credit_card,tier_3,211,cash_strapped_cyclical,train
sub_SYN00102,mid,324,2026-04-30,credit_card,tier_3,61,reliable,validation
sub_SYN00103,mid,300,2025-06-28,upi_autopay,tier_2,367,quiet_canceller,train
sub_SYN00104,premium,680,2024-07-29,credit_card,tier_2,701,chronic_struggler,train
sub_SYN00105,mid,348,2025-03-01,debit_card,tier_2,486,cash_strapped_cyclical,train
sub_SYN00106,mid,434,2025-06-19,upi_autopay,tier_1,376,reliable,test
sub_SYN00107,mid,476,2026-03-15,upi_autopay,tier_3,107,reliable,train
sub_SYN00108,mobile,107,2025-12-06,debit_card,tier_2,206,reliable,test
sub_SYN00109,mobile,95,2025-11-06,debit_card,tier_1,236,quiet_canceller,train
sub_SYN00110,mid,361,2024-12-12,netbanking,tier_1,565,reliable,validation
sub_SYN00111,mid,359,2024-09-25,upi_autopay,tier_3,643,reliable,train
